REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE,SCALEDDEMAND
VIC1,2012/11/29 00:00:00,5383.63,56.15,TRADE,0.5773
VIC1,2012/11/29 00:30:00,5085.04,53.02,TRADE,0.5453
VIC1,2012/11/29 01:00:00,4922.67,51.74,TRADE,0.5278
VIC1,2012/11/29 01:30:00,5035.35,51.75,TRADE,0.5399
VIC1,2012/11/29 02:00:00,4910.01,49.47,TRADE,0.5265
VIC1,2012/11/29 02:30:00,4756.8,48.12,TRADE,0.5101
VIC1,2012/11/29 03:00:00,4604.53,47.82,TRADE,0.4937
VIC1,2012/11/29 03:30:00,4589.55,47.89,TRADE,0.4921
VIC1,2012/11/29 04:00:00,4601.81,47.93,TRADE,0.4934
VIC1,2012/11/29 04:30:00,4744.71,49.03,TRADE,0.5088
VIC1,2012/11/29 05:00:00,4912.06,49.76,TRADE,0.5267
VIC1,2012/11/29 05:30:00,5205.66,53.06,TRADE,0.5582
VIC1,2012/11/29 06:00:00,5554.26,53.35,TRADE,0.5956
VIC1,2012/11/29 06:30:00,5998.59,58.57,TRADE,0.6432
VIC1,2012/11/29 07:00:00,6373.1,62.81,TRADE,0.6834
VIC1,2012/11/29 07:30:00,6474.16,54.98,TRADE,0.6942
VIC1,2012/11/29 08:00:00,6714.35,59.91,TRADE,0.7200
VIC1,2012/11/29 08:30:00,6951.01,76.38,TRADE,0.7453
VIC1,2012/11/29 09:00:00,7148.61,81.97,TRADE,0.7665
VIC1,2012/11/29 09:30:00,7359.14,62.32,TRADE,0.7891
VIC1,2012/11/29 10:00:00,7543.94,67.15,TRADE,0.8089
VIC1,2012/11/29 10:30:00,7712.96,82.32,TRADE,0.8270
VIC1,2012/11/29 11:00:00,7885.39,84.06,TRADE,0.8455
VIC1,2012/11/29 11:30:00,8092.79,105.05,TRADE,0.8678
VIC1,2012/11/29 12:00:00,8257.9,127.38,TRADE,0.8855
VIC1,2012/11/29 12:30:00,8457.81,155.81,TRADE,0.9069
VIC1,2012/11/29 13:00:00,8593.54,218.37,TRADE,0.9215
VIC1,2012/11/29 13:30:00,8783.16,298.49,TRADE,0.9418
VIC1,2012/11/29 14:00:00,8901.87,311.92,TRADE,0.9545
VIC1,2012/11/29 14:30:00,8999.55,270.5,TRADE,0.9650
VIC1,2012/11/29 15:00:00,9146.17,339.36,TRADE,0.9807
VIC1,2012/11/29 15:30:00,9280.82,2321.29,TRADE,0.9952
VIC1,2012/11/29 16:00:00,9325.17,8955.53,TRADE,0.9999
VIC1,2012/11/29 16:30:00,9325.98,9974.42,TRADE,1.0000
VIC1,2012/11/29 17:00:00,9285.44,8218.9,TRADE,0.9957
VIC1,2012/11/29 17:30:00,9138.62,962,TRADE,0.9799
VIC1,2012/11/29 18:00:00,8914.57,178.16,TRADE,0.9559
VIC1,2012/11/29 18:30:00,8565.85,126.2,TRADE,0.9185
VIC1,2012/11/29 19:00:00,8374.96,95.05,TRADE,0.8980
VIC1,2012/11/29 19:30:00,8167.79,101.8,TRADE,0.8758
VIC1,2012/11/29 20:00:00,8110.5,96.86,TRADE,0.8697
VIC1,2012/11/29 20:30:00,7751.56,85.55,TRADE,0.8312
VIC1,2012/11/29 21:00:00,7415.76,84.31,TRADE,0.7952
VIC1,2012/11/29 21:30:00,7034.91,64.23,TRADE,0.7543
VIC1,2012/11/29 22:00:00,6566.44,58.47,TRADE,0.7041
VIC1,2012/11/29 22:30:00,6340.52,62.9,TRADE,0.6799
VIC1,2012/11/29 23:00:00,6221.38,59.71,TRADE,0.6671
VIC1,2012/11/29 23:30:00,6308.51,61.62,TRADE,0.6764
